Variable,U_stat,p_value,FYE_mean,NonFYE_mean,FYE_median,NonFYE_median,FYE_n,NonFYE_n
Q5_num,10.0,0.027036,0.50,1.000000,0.5,1.0,4,10
Q22_num,33.5,0.055678,3.75,2.100000,4.0,2.5,4,10
FinLit_Total,10.0,0.063532,0.80,3.200000,0.0,3.5,5,10
Q25_num,32.0,0.070926,4.00,2.600000,4.0,3.0,4,10
Q16_num,30.5,0.130993,4.75,3.900000,5.0,4.0,4,10
Q27_num,25.0,0.154729,0.25,0.000000,0.0,0.0,4,10
Q13_num,10.5,0.156425,4.50,5.400000,4.5,6.0,4,10
Q12_num,11.0,0.161859,0.25,0.700000,0.0,1.0,4,10
Q24_num,29.5,0.186816,2.50,1.300000,2.5,1.0,4,10
Q21_num,27.0,0.246274,1.25,0.200000,0.5,0.0,4,10
Q29_num,26.0,0.278092,3.00,2.600000,3.0,3.0,4,10
Q20_num,27.0,0.324457,2.50,1.700000,2.5,0.5,4,10
Q19_num,25.0,0.458957,0.75,0.500000,1.0,0.5,4,10
Q23_num,25.5,0.463335,2.50,1.700000,3.0,1.5,4,10
Q39_correct,2.0,0.502335,0.00,0.500000,0.0,0.5,1,8
Q41_correct,6.0,0.502335,1.00,0.500000,1.0,0.5,1,8
Q30_num,24.5,0.534841,2.50,2.300000,3.0,2.0,4,10
Q10_num,16.0,0.551920,0.50,0.700000,0.5,1.0,4,10
Q15_num,24.0,0.590512,4.25,4.000000,4.5,4.0,4,10
Q33_num,22.0,0.635256,1.00,0.900000,1.0,1.0,4,10
Q11_num,17.0,0.670896,0.25,0.400000,0.0,0.0,4,10
Q31_num,23.0,0.691017,2.25,2.100000,2.5,2.0,4,10
Q14_num,17.0,0.703633,2.25,2.400000,2.0,2.0,4,10
Q34_num,23.0,0.710231,2.75,2.300000,3.5,2.0,4,10
Q17_num,22.0,0.825253,4.00,3.800000,4.0,4.0,4,10
Q18_num,21.0,0.928177,0.75,0.700000,1.0,1.0,4,10
Q28_num,21.0,0.939582,3.25,3.200000,3.5,3.0,4,10
Q26_num,21.0,0.940256,3.00,2.900000,3.0,3.0,4,10
Q38_correct,4.0,1.000000,1.00,1.000000,1.0,1.0,1,8
Q37_correct,5.0,1.000000,1.00,0.888889,1.0,1.0,1,9
Q40_correct,4.0,1.000000,1.00,1.000000,1.0,1.0,1,8
